prof_id,firstName,lastName,class,num_ratings,avg_quality,avg_difficulty,attendance_mandatory,is_online,would_take_again_pct
VGVhY2hlci0xNDgwNzIx,Eduardo,Douglas,ARTH160,11,3.455,3.636,True,False,60.0
VGVhY2hlci0xNDgwNzIx,Eduardo,Douglas,ARTH445,1,5,2,True,False,100.0
VGVhY2hlci0xNDgwNzIx,Eduardo,Douglas,ARTH391,1,5,4,True,False,100.0
VGVhY2hlci0xNDgwNzIx,Eduardo,Douglas,ARTH160H,1,4,4,True,False,0.0
VGVhY2hlci0xNDgwNzIx,Eduardo,Douglas,ARTH277,1,4,4,True,False,
VGVhY2hlci0yNzIzODQ3,Raquel,Maqueda,SPAN401,1,5,2,True,False,100.0
VGVhY2hlci0yNzIzODQ3,Raquel,Maqueda,SPAN203,23,4.957,2.304,True,False,100.0
VGVhY2hlci0yNzIzODQ3,Raquel,Maqueda,SPAN-102,2,5,2,True,False,100.0
VGVhY2hlci0yNzIzODQ3,Raquel,Maqueda,SPAN105,9,4.778,2.333,True,False,100.0
VGVhY2hlci0yMTcyODcx,Jason,Roberts,POLI100,30,2.967,3.2,True,False,72.22
VGVhY2hlci0yMTcyODcx,Jason,Roberts,POLI384,1,5,3,True,True,100.0
VGVhY2hlci0yMTcyODcx,Jason,Roberts,POLI100H,3,4.667,3.333,True,True,100.0
VGVhY2hlci0yMTcyODcx,Jason,Roberts,POLI412H,1,2,3,False,False,0.0
VGVhY2hlci0yNDYzNDA1,Benjamin,Goerger,KIN330,1,5,3,False,False,100.0
VGVhY2hlci0yNDYzNDA1,Benjamin,Goerger,EXSS385,18,4.722,3.111,False,False,94.44
VGVhY2hlci0yNDYzNDA1,Benjamin,Goerger,EXSS380,4,4.75,3.25,True,False,100.0
VGVhY2hlci0yNDYzNDA1,Benjamin,Goerger,EXSS175,6,2.667,3.833,True,False,100.0
VGVhY2hlci0yNDYzNDA1,Benjamin,Goerger,EXSS273,3,4.667,2,False,False,100.0
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI181,5,4.2,2,True,False,100.0
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI185H,3,4.333,3.333,True,False,66.67
VGVhY2hlci0yMDE2NDAz,Juliane,Hammer,RELI620,3,4.333,1.667,True,False,100.0
